pl_name,lightyears,planet Type
Kepler-267 d,864,Neptune-Like
Kepler-27 d,3406,Neptune-Like
Kepler-271 d,1319,Terrestrial
Kepler-272 d,2901,Neptune-Like
Kepler-275 d,6635,Neptune-Like
Kepler-276 d,3734,Super Earth
Kepler-279 d,3383,Neptune-Like
Kepler-281 d,5693,Neptune-Like
Kepler-282 d,4363,Super Earth
Kepler-286 d,4001,Super Earth
Kepler-288 d,3895,Neptune-Like
Kepler-289 d,2298,Neptune-Like
Kepler-290 d,2266,Terrestrial
Kepler-292 d,3446,Neptune-Like
Kepler-295 d,5542,Super Earth
Kepler-296 d,545,Neptune-Like
Kepler-297 d,2257,Gas Giant
Kepler-298 d,1690,Neptune-Like
Kepler-299 d,3432,Super Earth
Kepler-30 d,2982,Neptune-Like
Kepler-301 d,2346,Super Earth
Kepler-304 d,1418,Neptune-Like
Kepler-305 d,2833,Neptune-Like
Kepler-306 d,2530,Neptune-Like
Kepler-31 d,5429,Gas Giant
Kepler-310 d,1964,Super Earth
Kepler-311 d,2540,Super Earth
Kepler-319 d,1642,Neptune-Like
Kepler-32 d,1056,Neptune-Like
Kepler-325 d,2685,Neptune-Like
Kepler-326 d,1591,Super Earth
Kepler-327 d,789,Super Earth
Kepler-33 d,3944,Neptune-Like
Kepler-331 d,1892,Super Earth
Kepler-332 d,1123,Super Earth
Kepler-334 d,1391,Super Earth
Kepler-336 d,2508,Neptune-Like
Kepler-338 d,1803,Neptune-Like
Kepler-339 d,2011,Super Earth
Kepler-341 d,3415,Super Earth
Kepler-342 d,2549,Neptune-Like
Kepler-347 d,4236,Neptune-Like
Kepler-350 d,3121,Super Earth
Kepler-351 d,3535,Neptune-Like
Kepler-352 d,824,Terrestrial
Kepler-354 d,1807,Super Earth
Kepler-357 d,2246,Neptune-Like
Kepler-359 d,4707,Neptune-Like
Kepler-363 d,2487,Super Earth
Kepler-37 d,208,Neptune-Like
Kepler-372 d,4872,Super Earth
Kepler-374 d,4128,Super Earth
Kepler-381 d,872,Super Earth
Kepler-385 d,4672,Neptune-Like
Kepler-394 d,3453,Super Earth
Kepler-398 d,578,Terrestrial
Kepler-399 d,2415,Super Earth
Kepler-401 d,3149,Neptune-Like
Kepler-402 d,2040,Super Earth
Kepler-403 d,2741,Super Earth
Kepler-411 d,501,Neptune-Like
Kepler-416 d,2353,Super Earth
Kepler-42 d,131,Terrestrial
Kepler-431 d,1587,Super Earth
Kepler-444 d,119,Terrestrial
Kepler-445 d,415,Super Earth
Kepler-446 d,314,Super Earth
Kepler-450 d,1487,Super Earth
Kepler-451 d,1293,Gas Giant
Kepler-454 d,753,Gas Giant
Kepler-457 d,3497,Neptune-Like
Kepler-46 d,2534,Super Earth
Kepler-47 d,3343,Neptune-Like
Kepler-48 d,1000,Super Earth
Kepler-487 d,2845,Neptune-Like
Kepler-49 d,1015,Super Earth
Kepler-51 d,2556,Neptune-Like
Kepler-52 d,1049,Super Earth
Kepler-529 d,2606,Neptune-Like
Kepler-53 d,4455,Neptune-Like
Kepler-54 d,886,Super Earth
Kepler-549 d,2072,Neptune-Like
Kepler-55 d,1888,Super Earth
Kepler-56 d,2978,Gas Giant
Kepler-58 d,3161,Neptune-Like
Kepler-60 d,3343,Neptune-Like
Kepler-603 d,5021,Super Earth
Kepler-616 d,3085,Neptune-Like
Kepler-618 d,2938,Neptune-Like
Kepler-62 d,981,Neptune-Like
Kepler-65 d,991,Super Earth
Kepler-68 d,470,Gas Giant
Kepler-758 d,4900,Neptune-Like
Kepler-763 d,3139,Super Earth
Kepler-770 d,3035,Super Earth
Kepler-79 d,3329,Neptune-Like
Kepler-80 d,1205,Super Earth
Kepler-81 d,1135,Super Earth
Kepler-82 d,2949,Super Earth
Kepler-83 d,1306,Super Earth
Kepler-84 d,3339,Super Earth
Kepler-85 d,2495,Super Earth
Kepler-88 d,1229,Gas Giant
Kepler-9 d,2049,Super Earth
Kepler-92 d,1559,Super Earth
L 98-59 d,35,Super Earth
LP 791-18 d,86,Super Earth
NN Ser d,1682,Gas Giant
PSR B1257+12 d,1957,Super Earth
TOI-1136 d,276,Neptune-Like
TOI-1246 d,553,Neptune-Like
TOI-125 d,362,Neptune-Like
TOI-1260 d,240,Neptune-Like
TOI-1749 d,325,Neptune-Like
TOI-178 d,204,Neptune-Like
TOI-2076 d,137,Neptune-Like
TOI-270 d,73,Neptune-Like
TOI-4010 d,579,Gas Giant
TOI-431 d,106,Neptune-Like
TOI-451 d,404,Neptune-Like
TOI-500 d,155,Neptune-Like
TOI-561 d,280,Super Earth
TOI-700 d,102,Super Earth
TOI-712 d,191,Neptune-Like
TRAPPIST-1 d,41,Terrestrial
V1298 Tau d,353,Gas Giant
WASP-47 d,864,Neptune-Like
Wolf 1061 d,14,Neptune-Like
YZ Cet d,12,Super Earth
pi Men d,60,Neptune-Like
rho CrB d,57,Neptune-Like
ups And d,44,Gas Giant
