pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
GJ 15 A c,c,HD 1326,Gaia DR2 385334230892516480,2.0,2.0,0.0,Radial Velocity,2018.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
GJ 160.2 b,b,,Gaia DR2 5091077112523802112,1.0,1.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 163 b,b,,Gaia DR2 4780294722094459904,1.0,3.0,0.0,Radial Velocity,2013.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 163 c,c,,Gaia DR2 4780294722094459904,1.0,3.0,0.0,Radial Velocity,2013.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 163 d,d,,Gaia DR2 4780294722094459904,1.0,3.0,0.0,Radial Velocity,2013.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 179 b,b,,Gaia DR2 3288082758293022848,1.0,1.0,0.0,Radial Velocity,2009.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 180 b,b,,Gaia DR2 2979590513145784192,1.0,3.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 180 c,c,,Gaia DR2 2979590513145784192,1.0,3.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 180 d,d,,Gaia DR2 2979590513145784192,1.0,3.0,0.0,Radial Velocity,2020.0,Ground,Multiple Facilities,Multiple Telescopes,
GJ 2030 b,b,,Gaia DR2 5168359139139252352,1.0,2.0,0.0,Radial Velocity,2022.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 2030 c,c,,Gaia DR2 5168359139139252352,1.0,2.0,0.0,Radial Velocity,2022.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 2056 b,b,,Gaia DR2 5617244278837970816,1.0,1.0,0.0,Radial Velocity,2020.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 229 A c,c,HD 42581,Gaia DR2 2940856402123426176,2.0,2.0,0.0,Radial Velocity,2020.0,Ground,Multiple Facilities,Multiple Telescopes,
GJ 229 b,b,HD 42581,Gaia DR2 2940856402123426176,2.0,2.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 251 b,b,HD 265866,Gaia DR2 939072613334579328,1.0,1.0,0.0,Radial Velocity,2020.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 27.1 b,b,,Gaia DR2 4980466929964496128,1.0,1.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 273 b,b,,,1.0,2.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 273 c,c,,,1.0,2.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3021 b,b,HD 1237,Gaia DR2 4634528720388462592,2.0,1.0,0.0,Radial Velocity,2000.0,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,
GJ 3082 b,b,,Gaia DR2 4915139584039259392,1.0,1.0,0.0,Radial Velocity,2020.0,Ground,Multiple Facilities,Multiple Telescopes,
GJ 3090 b,b,,Gaia DR2 4933912198893332224,1.0,1.0,0.0,Transit,2022.0,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,
GJ 3138 b,b,,Gaia DR2 5144740907820131840,1.0,3.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 3138 c,c,,Gaia DR2 5144740907820131840,1.0,3.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
