pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
K2-165 d,d,,Gaia DR2 3700016198387202304,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-166 b,b,,Gaia DR2 3701015375282968064,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-167 b,b,HD 212657,Gaia DR2 2594479109451475456,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-168 b,b,,Gaia DR2 6826271727199243264,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-169 b,b,,Gaia DR2 2599322178998513664,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-17 b,b,,Gaia DR2 3899064464855774592,1.0,1.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-170 b,b,,Gaia DR2 2599451994385832448,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-170 c,c,,Gaia DR2 2599451994385832448,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-171 b,b,,Gaia DR2 2612301329648852224,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-172 b,b,,Gaia DR2 2602237602799035008,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-172 c,c,,Gaia DR2 2602237602799035008,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-173 b,b,,Gaia DR2 39404267653786624,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-174 b,b,,Gaia DR2 46217666333148416,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-175 b,b,,Gaia DR2 55077599749605504,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-176 b,b,,Gaia DR2 49842515651843200,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-177 b,b,,Gaia DR2 63416845689590400,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-178 b,b,,Gaia DR2 61624573016925824,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-179 b,b,,Gaia DR2 65797082206292224,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-18 b,b,,Gaia DR2 3910747531814692736,1.0,2.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-18 c,c,,Gaia DR2 3910747531814692736,1.0,2.0,0.0,Radial Velocity,2017.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
K2-180 b,b,,Gaia DR2 600750922666388992,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-181 b,b,,Gaia DR2 600874445926411264,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-182 b,b,,Gaia DR2 601480723509077632,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-183 b,b,,Gaia DR2 652007410271734912,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-183 c,c,,Gaia DR2 652007410271734912,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-183 d,d,,Gaia DR2 652007410271734912,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-184 b,b,,Gaia DR2 651522834880015872,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-185 b,b,,Gaia DR2 609508120464763264,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-185 c,c,,Gaia DR2 609508120464763264,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-186 b,b,,Gaia DR2 612404474610535936,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-187 b,b,,Gaia DR2 689268759823937280,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-187 c,c,,Gaia DR2 689268759823937280,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-187 d,d,,Gaia DR2 689268759823937280,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-187 e,e,,Gaia DR2 689268759823937280,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-188 b,b,,Gaia DR2 666195851913506816,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-188 c,c,,Gaia DR2 666195851913506816,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-189 b,b,,Gaia DR2 3606343094804432128,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-189 c,c,,Gaia DR2 3606343094804432128,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-19 b,b,,Gaia DR2 3798833775141351552,1.0,3.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-19 c,c,,Gaia DR2 3798833775141351552,1.0,3.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-19 d,d,,Gaia DR2 3798833775141351552,1.0,3.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-190 b,b,,Gaia DR2 3607243530404017280,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-190 c,c,,Gaia DR2 3607243530404017280,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-191 b,b,,Gaia DR2 3610048418926172032,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-192 b,b,,Gaia DR2 3613467311677116160,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-193 b,b,,Gaia DR2 3616526878875985536,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-194 b,b,,Gaia DR2 3618361345307363584,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-195 b,b,,Gaia DR2 3624969886932157568,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-195 c,c,,Gaia DR2 3624969886932157568,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-196 b,b,,Gaia DR2 3625009164407557760,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-197 b,b,,Gaia DR2 3630460126445437440,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-198 b,b,,Gaia DR2 3628687065162340224,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-198 c,c,,Gaia DR2 3628687065162340224,1.0,3.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-198 d,d,,Gaia DR2 3628687065162340224,1.0,3.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-199 b,b,,Gaia DR2 3620501712193719296,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-199 c,c,,Gaia DR2 3620501712193719296,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-200 b,b,,Gaia DR2 3635174042031610496,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-201 b,b,,Gaia DR2 6771370981322320128,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-201 c,c,,Gaia DR2 6771370981322320128,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-2016-BLG-0005L b,b,,,1.0,1.0,0.0,Microlensing,2023.0,Space,K2,0.95 m Kepler Telescope,
K2-202 b,b,,Gaia DR2 4078733014274957184,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-203 b,b,,Gaia DR2 2535901287452166400,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-204 b,b,,Gaia DR2 2533185974768028032,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-205 b,b,,Gaia DR2 2536584771367726336,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-206 b,b,,Gaia DR2 2549096011101118080,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-207 b,b,,Gaia DR2 2549087623029238400,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-208 b,b,,Gaia DR2 2534388703049641472,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-209 b,b,,Gaia DR2 2537467988442521600,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-21 b,b,,Gaia DR2 2596888100773300224,1.0,2.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-21 c,c,,Gaia DR2 2596888100773300224,1.0,2.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-210 b,b,,Gaia DR2 2538051863476537984,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-211 b,b,,Gaia DR2 2559203924574351616,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-212 b,b,,Gaia DR2 2538824923230146560,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-213 b,b,,Gaia DR2 2551651031310145024,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-214 b,b,,Gaia DR2 2551946391916754176,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-215 b,b,,Gaia DR2 2564621115285038208,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-216 b,b,,Gaia DR2 2556231154370582400,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-217 b,b,,Gaia DR2 2556248536102683008,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-218 b,b,,Gaia DR2 2556472119215785728,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-219 b,b,,Gaia DR2 2581741400387500544,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-219 c,c,,Gaia DR2 2581741400387500544,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-219 d,d,,Gaia DR2 2581741400387500544,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-22 b,b,,Gaia DR2 3811002791880297600,2.0,1.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-220 b,b,,Gaia DR2 2581918597853527424,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-221 b,b,,Gaia DR2 2582898606311167872,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-222 b,b,,Gaia DR2 2584093844170270720,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-223 b,b,,Gaia DR2 3578046995560843520,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-223 c,c,,Gaia DR2 3578046995560843520,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-224 b,b,,Gaia DR2 3578783977588991360,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-224 c,c,,Gaia DR2 3578783977588991360,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-225 b,b,,Gaia DR2 3579573358218514944,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-226 b,b,,Gaia DR2 3581264372742210048,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-227 b,b,,Gaia DR2 3675261140764265728,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-228 b,b,,Gaia DR2 3583611726987567232,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-229 b,b,,Gaia DR2 3583630929786305280,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-229 c,c,,Gaia DR2 3583630929786305280,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-230 b,b,,Gaia DR2 3676684252407983488,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-231 b,b,,Gaia DR2 4184182737768311296,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-232 b,b,HD 286123,Gaia DR2 3406687485600728192,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-233 b,b,,Gaia DR2 6253186686054822784,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-233 c,c,,Gaia DR2 6253186686054822784,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-233 d,d,,Gaia DR2 6253186686054822784,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-237 b,b,,Gaia DR2 6032746832450438400,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-238 b,b,,Gaia DR2 2631270757088861312,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-239 b,b,,Gaia DR2 3857872051994269824,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-239 c,c,,Gaia DR2 3857872051994269824,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-239 d,d,,Gaia DR2 3857872051994269824,1.0,3.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-24 b,b,,Gaia DR2 6049750234317822208,1.0,2.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-24 c,c,,Gaia DR2 6049750234317822208,1.0,2.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-240 b,b,,Gaia DR2 6257625719430982016,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-240 c,c,,Gaia DR2 6257625719430982016,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-241 b,b,,Gaia DR2 3594882751966012160,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-242 b,b,,Gaia DR2 3595647565382917120,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-243 b,b,,Gaia DR2 3597570989175080576,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-243 c,c,,Gaia DR2 3597570989175080576,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-244 b,b,,Gaia DR2 3597981377595128704,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-245 b,b,,Gaia DR2 3694743765254445312,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-246 b,b,,Gaia DR2 3697828548204889344,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-247 b,b,,Gaia DR2 3578596339057980160,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-247 c,c,,Gaia DR2 3578596339057980160,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-248 b,b,,Gaia DR2 3582057258065666816,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-249 b,b,,Gaia DR2 3582098107498270208,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-25 b,b,,Gaia DR2 3311804515502788352,1.0,1.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-250 b,b,,Gaia DR2 3582706794559052160,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-251 b,b,,Gaia DR2 3675248118423392256,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-252 b,b,,Gaia DR2 3582392123779246336,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-253 b,b,,Gaia DR2 3584368019189709952,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-254 b,b,,Gaia DR2 3596876269626641664,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-254 c,c,,Gaia DR2 3596876269626641664,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-255 b,b,,Gaia DR2 3682825883842696832,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-256 b,b,,Gaia DR2 3693923185982895360,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-257 b,b,,Gaia DR2 3695235654973028736,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-258 b,b,,Gaia DR2 3695568295896473856,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-259 b,b,,Gaia DR2 3700295641843380224,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-26 b,b,,Gaia DR2 3425691139632545152,1.0,1.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-260 b,b,,Gaia DR2 3394923127797114496,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-261 b,b,,Gaia DR2 3807826337147474176,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-263 b,b,,Gaia DR2 657756997089784960,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-264 b,b,,Gaia DR2 661167785238757376,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-264 c,c,,Gaia DR2 661167785238757376,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-265 b,b,,Gaia DR2 2597119620985658496,2.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-266 b,b,,Gaia DR2 3855246074629979264,2.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-266 c,c,,Gaia DR2 3855246074629979264,2.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-266 d,d,,Gaia DR2 3855246074629979264,2.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-266 e,e,,Gaia DR2 3855246074629979264,2.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-268 b,b,,Gaia DR2 604743013163971072,1.0,5.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-268 c,c,,Gaia DR2 604743013163971072,1.0,5.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-268 d,d,,Gaia DR2 604743013163971072,1.0,5.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-268 e,e,,Gaia DR2 604743013163971072,1.0,5.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-268 f,f,,Gaia DR2 604743013163971072,1.0,5.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-269 b,b,,Gaia DR2 603087251731604480,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-27 b,b,,Gaia DR2 3798552815560689792,3.0,1.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-270 b,b,,Gaia DR2 608395625151767680,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-270 c,c,,Gaia DR2 608395625151767680,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-271 b,b,,Gaia DR2 655863775507590400,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-272 b,b,,Gaia DR2 659826037455527040,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-273 b,b,,Gaia DR2 659701895721176192,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-274 b,b,,Gaia DR2 664406705976755712,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-275 b,b,,Gaia DR2 661598415839633024,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-275 c,c,,Gaia DR2 661598415839633024,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-276 b,b,,Gaia DR2 677884313351354880,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-277 b,b,,Gaia DR2 3604866381969319040,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-278 b,b,,Gaia DR2 3606596502170799104,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-279 b,b,,Gaia DR2 3632489004572413952,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-28 b,b,,Gaia DR2 2622296783699476864,1.0,1.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-280 b,b,,Gaia DR2 6772454416893148928,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-281 b,b,,Gaia DR2 2577432178095422976,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-282 b,b,,Gaia DR2 2580848395082660992,1.0,2.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-283 b,b,,Gaia DR2 2581916673708201216,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-284 b,b,,Gaia DR2 3413793491812093824,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-285 b,b,,Gaia DR2 2657374606238804992,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-285 c,c,,Gaia DR2 2657374606238804992,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-285 d,d,,Gaia DR2 2657374606238804992,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-285 e,e,,Gaia DR2 2657374606238804992,1.0,4.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-286 b,b,,Gaia DR2 6264513270727342080,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-287 b,b,,Gaia DR2 6239702034929248512,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-288 B b,b,,Gaia DR2 44838019756570112,2.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-289 b,b,,Gaia DR2 4325505960880989952,1.0,1.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-29 b,b,,Gaia DR2 150054788545735424,2.0,1.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-290 b,b,,Gaia DR2 6253844468882760832,3.0,2.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-290 c,c,,Gaia DR2 6253844468882760832,3.0,2.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-291 b,b,HD 285181,Gaia DR2 3409148746676599168,1.0,1.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-292 b,b,HD 119130,Gaia DR2 3616931735377523712,1.0,1.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-293 b,b,,Gaia DR2 2632493590110613760,1.0,1.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-294 b,b,,Gaia DR2 2438623297559630592,1.0,1.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-295 b,b,,Gaia DR2 2564784633279953536,1.0,1.0,0.0,Transit,2018.0,Space,K2,0.95 m Kepler Telescope,
K2-3 b,b,,Gaia DR2 3796690380302214272,1.0,3.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-3 c,c,,Gaia DR2 3796690380302214272,1.0,3.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-3 d,d,,Gaia DR2 3796690380302214272,1.0,3.0,0.0,Transit,2015.0,Space,K2,0.95 m Kepler Telescope,
K2-30 b,b,,Gaia DR2 61607255708760960,1.0,1.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-308 b,b,,Gaia DR2 3393982701757444352,1.0,1.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-31 b,b,,Gaia DR2 6050191241556876672,2.0,1.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-312 c,c,HD 80653,Gaia DR2 606477252238780160,1.0,2.0,0.0,Radial Velocity,2023.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
K2-315 b,b,,Gaia DR2 6255978483510095488,1.0,1.0,0.0,Transit,2020.0,Space,K2,0.95 m Kepler Telescope,
K2-316 b,b,,Gaia DR2 6239410080231903488,1.0,2.0,0.0,Transit,2020.0,Space,K2,0.95 m Kepler Telescope,
K2-316 c,c,,Gaia DR2 6239410080231903488,1.0,2.0,0.0,Transit,2020.0,Space,K2,0.95 m Kepler Telescope,
K2-317 b,b,,Gaia DR2 6255655673768103168,1.0,1.0,0.0,Transit,2020.0,Space,K2,0.95 m Kepler Telescope,
K2-318 b,b,,Gaia DR2 6258364939144564992,1.0,1.0,0.0,Transit,2020.0,Space,K2,0.95 m Kepler Telescope,
K2-319 b,b,,Gaia DR2 3811688440459523200,1.0,1.0,0.0,Transit,2020.0,Space,K2,0.95 m Kepler Telescope,
K2-32 b,b,,Gaia DR2 4130539180358512768,2.0,4.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-32 c,c,,Gaia DR2 4130539180358512768,2.0,4.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-32 d,d,,Gaia DR2 4130539180358512768,2.0,4.0,0.0,Transit,2016.0,Space,K2,0.95 m Kepler Telescope,
K2-32 e,e,,Gaia DR2 4130539180358512768,2.0,4.0,0.0,Transit,2019.0,Space,K2,0.95 m Kepler Telescope,
K2-320 b,b,,Gaia DR2 3864142669886768896,1.0,1.0,0.0,Transit,2020.0,Space,K2,0.95 m Kepler Telescope,
